Area_Numbe,Num_Homes,Growth_Std,Growth_Mean,Sales_Price_Std,Sales_Price_Mean,Black_Percentage,Population,Male_Proportion,Female_Proportion,Hispanic_Percentage,White_Percentage,Asian_Percentage,Income_Per_Capita,Poverty_Percentage
102,323,7949.015486004361,2736.8833468692783,47082.53214096492,250924.0206346749,5.1000000000000005,3276.0,0.5036630036630036,0.49633699633699635,1.5,80.79999999999998,5.700000000000001,36430.0,6.299999999999998
102,323,7949.015486004361,2736.8833468692783,47082.53214096492,250924.0206346749,5.1000000000000005,3276.0,0.5036630036630036,0.49633699633699635,1.5,80.79999999999998,5.700000000000001,36430.0,6.299999999999998
122,304,,,43360.62564776355,328108.08134868415,5.1000000000000005,3276.0,0.5036630036630036,0.49633699633699635,1.5,80.8,5.700000000000001,36430.0,6.299999999999999
31,462,4028.7982170473856,-158.1418025168864,79139.81344894867,201066.36954957267,6.1,3246.0,0.511090573012939,0.488909426987061,6.1,80.79999999999998,5.200000000000001,28681.0,11.900000000000006
33,566,4415.11286861732,-961.0666181903637,80354.65498054774,189102.9123591955,4.427915194346291,2555.3003533568904,0.5070414160271036,0.4929585839728964,4.042049469964665,88.1314487632509,2.177385159010601,31651.522968197878,7.912720848056538
6,22,3296.061390233958,-4300.232531632108,68281.8687522143,158568.86666666667,6.736363636363638,6358.159090909091,0.5204157864447614,0.4795842135552386,9.313636363636364,78.42272727272726,0.33863636363636357,36157.86363636364,8.395454545454543
97,362,5450.0942841564865,-350.6411332521628,76471.20104295303,213261.19629369,6.9,6226.0,0.5231288146482492,0.4768711853517507,9.5,78.29999999999998,0.0,36066.0,8.599999999999998
36,785,4032.3707223797614,-579.4861598883242,78926.96984313341,208125.4736755273,6.9,6226.0,0.5231288146482492,0.4768711853517507,9.5,78.29999999999998,0.0,36066.0,8.599999999999998
44,491,7480.2840952286915,161.35407780792588,85040.88240688655,218490.1148676171,6.832790224032587,6261.122199592668,0.5230909654542255,0.4769090345457745,9.441955193482688,78.4191446028513,0.03054989816700611,36177.517311608965,8.534826883910386
96,150,11059.494828427094,6571.091146294231,154042.44444290156,291687.3925295508,3.3000000000000007,9133.5,0.481578803306509,0.518421196693491,5.399999999999999,81.0,7.45,38087.0,4.100000000000001
116,22,8.641828192832067,75.54731797919762,106981.84490011548,336721.69333333336,1.8227272727272728,3024.340909090909,0.5149807245756025,0.4850192754243975,10.31363636363636,78.31363636363638,4.788636363636364,42767.27272727273,8.000000000000002
103,648,9864.239224727193,-1286.1063453786994,62205.46312307167,281671.4896365218,3.3000000000000003,9133.5,0.481578803306509,0.518421196693491,5.3999999999999995,81.0,7.4499999999999975,38087.0,4.1000000000000005
99,725,5285.870895298793,-3543.675877503383,55605.979965992316,304542.70054473315,3.3,9133.5,0.481578803306509,0.518421196693491,5.399999999999999,81.0,7.45,38087.0,4.100000000000001
35,398,2662.2336887546153,-1423.1701729609545,67975.78009857594,193133.12307782448,6.9,6226.0,0.5231288146482492,0.4768711853517507,9.5,78.29999999999997,0.0,36066.0,8.599999999999998
34,662,3100.834921408555,-601.21149670688,85197.92605310911,171362.94882694306,3.541087613293051,2220.990936555891,0.5043419828388297,0.49565801716117025,2.979758308157099,92.03202416918433,0.49395770392749244,33333.425981873115,5.735045317220545
37,657,3523.610369180725,306.63147333698066,101512.67588085948,184184.84794167482,8.700000000000001,4533.0,0.46348996249724245,0.5365100375027576,5.3999999999999995,83.70000000000002,1.0,29308.0,12.400000000000004
56,253,9447.5672165063,6867.831566241303,105150.73931239397,239482.03187470033,10.900000000000002,1723.0,0.5571677307022634,0.4428322692977365,1.8000000000000003,79.10000000000001,2.4000000000000004,38173.0,9.299999999999999
47,779,4237.747625722444,-1702.5785106261465,66878.69159217097,225029.058786565,5.299999999999999,5080.0,0.48641732283464567,0.5135826771653543,4.0,86.9,2.5,31450.0,10.400000000000002
43,885,3957.947907271302,-1230.7346113253648,63612.742694149856,196431.23616045754,5.299999999999998,5080.0,0.48641732283464567,0.5135826771653543,4.0,86.9,2.5,31450.0,10.400000000000004
46,300,4224.837892691218,-1246.7457151810584,74124.59638726694,198841.24641666663,5.330666666666666,5082.338333333333,0.4864273433193317,0.5135726566806683,4.019,86.82216666666665,2.5251666666666663,31439.69,10.398
