Parcel,Latitude,Longitude
71002302108,43.09912885090153,-89.27604610630074
71002302116,43.09901360906235,-89.27604425601427
71002302124,43.098932513742895,-89.27604632233589
71002302132,43.098844125723645,-89.27605439380095
71002303015,43.09845934988093,-89.27905732701208
71002303023,43.098370622999774,-89.27905621608473
71002303031,43.098287959310674,-89.27905680136091
71002303049,43.09820379193629,-89.2790527587267
71002303057,43.09811860683013,-89.27904987891212
71002303065,43.098034202551545,-89.27902804342756
71002303073,43.097951721688226,-89.27899523719826
71002303081,43.097871882521744,-89.2789519049953
71002303099,43.09779539045032,-89.27889844491597
71002303106,43.09772304958937,-89.2788350890591
71002303114,43.09766032691783,-89.27875834704821
71002303122,43.09759702754543,-89.27868291363319
71002303130,43.09753162747721,-89.27860919180893
71002303148,43.09746702122183,-89.27853636551127
71002303156,43.0974034742832,-89.27846473254833
71002303164,43.097311376958935,-89.27834392913587
71002303172,43.097483972231636,-89.27784493909569
71002303180,43.09754567935146,-89.27794222043501
71002303198,43.097607989535696,-89.2780202592359
71002303205,43.097672853826666,-89.27810150014861
71002303213,43.09773355347016,-89.27818567071556
71002303221,43.0977988061634,-89.27826835351155
71002303239,43.09787101043409,-89.2783468322134
71002303247,43.097946337391825,-89.27841837016297
71002303255,43.098027811303346,-89.27847637500332
71002303263,43.098114416089636,-89.27851860812224
71002303271,43.098203968294094,-89.27854414157757
71002303289,43.09829624378126,-89.27855723387232
71002303297,43.09838413004608,-89.27854935707964
71002303304,43.098471377647115,-89.27855496241209
71002304013,43.098427757442025,-89.27793288026409
71002304021,43.09823487425661,-89.27791708129593
71002304039,43.09808447295777,-89.27779070569751
71002304047,43.097970155537816,-89.27762406218224
71002304055,43.09784151711747,-89.27744353287149
71002305037,43.09760074762158,-89.27706564226703
71002305045,43.097476321976174,-89.27689433817517
71002305053,43.09741251552539,-89.27660784449009
71002305061,43.09720088919323,-89.27652189770033
71002305079,43.09697605994357,-89.27650279114297
71002305087,43.096798527773984,-89.27651697398365
71002305095,43.096626413828716,-89.27652278054148
71002305227,43.09761959423562,-89.27607975413393
71002305235,43.09779798239923,-89.27609044288307
71002306019,43.096936502281636,-89.27816034947055
71002306027,43.096999970965406,-89.27790698732534
71002306035,43.09703960610853,-89.27764125701663
