Parcel,XCoord,YCoord,Total_Assessment
71002418616,850971.1545,491527.56899999996,100
71002419010,851650.2041,491355.0695,345100
71002419028,851653.7672,491434.7501,282900
71002419036,851654.8412,491504.1791,223800
71002419044,851656.2178,491573.1508,222500
71002419135,851756.6524,491585.2121,136700
71002419143,851750.2495,491541.9762,136700
71002419151,851919.0948,491539.8926,136700
71002419169,851912.3065,491585.8131,136700
71002421015,851517.8615,490881.5426,309400
71002421023,851530.5474,490784.5714,250700
71002421031,851532.5249,490709.3622,274600
71002421049,851478.8337,490633.1353,355900
71002421057,851528.2543,490552.3618,283300
71002421065,851522.2808,490480.278,320000
71002421073,851481.3046,490394.8068,401300
71002421081,851413.0672,490475.4056,246500
71002421099,851415.1142,490552.9476,275800
71002421106,851417.9705,490710.5539,238000
71002421114,851419.0767,490778.5067,254400
71002421122,851413.0472,490855.537,272100
71002434018,850957.6274,490311.3044,10100
71002434026,850956.9725,490242.3075,241400
71002434034,850956.3174,490173.3106,10100
71002434042,850954.9978,490101.1801,405300
71002434068,850662.2208,490094.7497,10500
71002434076,850663.6635,490167.0465,10100
71002435016,850174.6604,490189.6785,298400
71002435074,850505.8099,490140.15,303500
71002435082,850503.8413,490082.3941,199400
71002435090,850427.891,490094.9229,119500
71002435107,850368.8059,490093.1574,7900
71002435115,850309.8214,490091.8041,7900
71002435123,850250.6071,490090.2843,8000
71002435131,850172.8432,490079.5525,289300
71002435149,850171.9221,490134.6043,305400
71002436014,850169.8034,489940.98799999995,295900
71002436022,850246.5279,489930.9275,164400
71002436030,850305.3977,489932.6632,10500
71002436048,850364.3824,489934.0097,10500
71002436056,850423.3683,489935.3559,10500
71002436064,850501.686,489953.7851,140900
71002436072,850508.1717,489879.5259,11800
71002436080,850521.1455,489805.3799,399000
71002436098,850425.9353,489821.9752,299600
71002436105,850366.9232,489820.67100000003,352100
71002436113,850307.938,489819.3516,275000
71002436121,850248.9043,489818.0308,285900
71002436139,850168.4714,489797.9194,292800
71002436147,850167.9128,489869.8353,318800
71002437012,850188.4199,489674.3786,299900
71002437020,850188.2328,489624.521,272000
71002437038,850210.3298,489578.3356,291000
71002437046,850231.875,489536.4781,308200
71002437054,850251.4432,489495.9554,261400
71002437062,850271.0109999999,489455.4297,292100
71002437070,850290.5786,489414.9039,300300
71002437088,850310.1464,489374.3783,304400
71002437096,850329.7141,489333.8526,310000
71002437103,850350.0623,489293.1037,334100
71002437111,850368.6509,489249.749,325500
71002437153,850382.1312,489207.9973,262200
71002437161,850393.6272,489170.8051,307500
71002437179,850402.3078,489133.1897,279500
71002437187,850426.5724,489088.5974,348500
71002437195,850501.0992,489103.6988,275000
71002437202,850544.0013,489106.4534,304600
71002438010,850315.9489,489671.5735,288800
71002438028,850331.9204,489620.1453,317300
71002438036,850355.1989,489578.4012,289300
71002438044,850375.1666,489538.0737,323900
71002438052,850395.1342,489497.7463,405600
71002438060,850415.1017,489457.419,294900
71002438078,850435.0691,489417.0916,289900
71002438086,850455.0366,489376.7643,288800
71002438094,850475.1997,489336.4178,293600
71002438101,850495.2767,489295.1554,334100
71002438119,850508.8767,489252.8265,325000
71002438127,850518.7083,489209.3797,269500
71002439018,850478.926,489673.6626,310500
71002439026,850504.0623,489622.99100000004,276600
71002439034,850524.0298,489582.6637,269900
71002439042,850543.9972,489542.3363,294800
71002439050,850563.9648,489502.00899999996,263500
71002439068,850583.9324,489461.6814,267400
71002439076,850603.8999,489421.3539,271500
71002439084,850624.8697,489380.6072,280300
71002439092,850642.8604,489337.2348,266900
71002439109,850657.9171,489291.9257,257300
71002439117,850670.3665,489245.8226,280400
71002439125,850673.6106,489199.2135,273400
71002440015,850112.7731,491507.6186,52000
71002440023,850162.4353,491511.3525,43000
71002440031,850207.4003,491513.1274,43000
71002440049,850248.3684,491514.7444,34100
71002440057,850285.3396,491516.2036,34100
71002440065,850322.3075,491517.6824,34100
71002440073,850359.2838,491519.1419,34100
71002440081,850396.2533,491520.5815,34100
71002440099,850437.2214,491522.1985,43000
71002440106,850478.1895,491523.8154,34100
71002440114,850515.1607,491525.2748,34100
71002440122,850552.1369,491526.7188,34100
71002440130,850589.1622,491527.8186,34200
71002440148,850630.2677,491528.2399,44200
71002440156,850676.1276,491528.5177,47700
71002440164,850721.9635,491525.2127,48000
71002440172,850773.0493,491522.2534,57700
71002441021,850170.6888,491390.6969,100
71002441055,850285.5593,491395.1183,100
71002441097,850437.4411,491401.11299999995,100
71002442011,850117.5247,491228.1316,100
71002442045,850251.4992,491238.6529,100
71002442061,850325.4417,491241.5715,100
71002442102,850473.3264,491247.4086,100
71003100949,845495.3618,494077.0289,481500
71003105014,844636.3173,491793.7164,163900
71003105105,845441.5937,491944.4081,218300
71003105113,845360.1577,491942.8388,248500
71003105121,845278.93,491941.7205,218300
71003105139,845197.2586,491940.0278,226400
71003105147,845115.8694,491938.2808,258300
71003105155,845034.9201,491936.8531,226800
71003105163,844954.6976,491935.5192,204400
71003105171,844873.7632,491933.7169,212400
71003105189,844792.2866,491932.0871,230000
71003105197,844711.0645,491930.7244,225000
71003105204,844630.0332,491928.7077,206800
71003106012,844631.6271,492113.9128,233000
71003106020,844710.2622,492116.1091,237000
71003106038,844787.4486,492117.7091,220500
71003106046,844864.713,492119.3053,230600
71003106054,844941.168,492120.8553,229900
71003106062,845017.2719,492122.7348,244700
71003106070,845093.5956,492124.1753,234200
71003106088,845169.3497,492125.781,232300
71003106096,845246.2183,492131.6761,206600
71003106103,845322.4814,492141.8886,216100
71003106111,845420.0438,492116.2239,233600
71003106129,845418.3552,492209.3784,222800
71003106137,845431.0132,492303.7549,233400
71003106145,845342.4770000001,492322.7554,219100
71003106153,845268.344,492369.9692,203200
71003106161,845198.0897,492404.2994,227500
71003106179,845249.4355,492265.8028,251900
71003106187,845156.2309,492231.9509,212500
71003106195,845038.8738,492233.62,238700
71003106202,845000.057,492305.9979,238100
71003106210,845057.0135,492421.1634,230700
71003106228,844981.4335,492414.7088,231700
71003106236,844907.0521,492412.5598,236000
71003106244,844833.9779,492413.3688,241000
71003106252,844893.3202,492289.5875,209000
71003106260,844838.9940000001,492229.0289,250700
71003106278,844734.4244,492225.9011,203500
71003106286,844652.3211,492253.5056,227100
71003106294,844653.3442,492350.9201,262600
71003106301,844663.0218,492429.6781,270500
71003107010,844638.6988,492585.06200000003,239400
71003107028,844723.059,492587.5322,211100
71003107036,844804.3707,492589.8806,227200
71003107044,844884.5324,492591.8623,270100
71003107052,844964.8611,492593.9591,222900
71003107060,845045.7505,492596.0454,220700
71003107078,845128.6716,492599.6162,224800
71003107086,845214.0768,492591.5237,228000
71003107094,845290.3772,492560.0575,216000
71003107101,845361.5794,492524.1592,277700
71003107119,845434.8127,492489.336,279100
71003107127,845507.1427,492455.0736,222500
71003107135,845561.1268,492566.2182,220700
71003107143,845489.5021,492601.2072,208000
71003107151,845416.6281,492636.1674,222300
71003107169,845346.9126,492671.3481,248600
71003107177,845276.4669,492702.4153,234700
71003107185,845197.0266,492714.615,236400
71003107193,845116.9499,492710.9312,264000
71003107200,845035.9341,492709.00899999996,250300
71003107218,844955.9777,492706.5373,231200
71003107226,844877.5211,492704.4139,241100
71003107234,844798.515,492702.2726,221300
71003107242,844719.1375,492699.8967,271600
71003107250,844638.1852,492697.3766,192900
71003108018,844645.7548,492886.6034,201400
71003108026,844733.2008,492890.0576,258900
71003108034,844813.3991,492892.8862,219200
71003108042,844893.0641,492895.6201,244500
71003108050,844971.9175,492897.8707,241300
71003108068,845051.4578,492900.9762,226800
71003108076,845132.3846,492903.4186,252000
71003108084,845211.8769,492908.5559,216000
71003108092,845289.0079,492905.404,224700
71003108109,845365.4459,492890.7659,216400
71003108117,845438.2174,492863.1438,212700
71003108125,845508.4784,492827.0769,237900
71003108133,845580.2314,492791.5655,217100
71003108141,845651.2194,492756.429,254700
71003201010,842302.5861,492163.9641,175800
71003201028,842303.2052,492243.4665,202300
71003201036,842200.4867,492205.8218,224000
71003201044,842120.6393,492184.3084,212400
71003201052,842005.0133,492181.1983,241300
71003201060,841964.6416,492279.1855,222800
71003201078,841997.91,492383.226,187300
71003201086,842117.3409,492412.0982,203100
71003201094,842199.8259999999,492457.0881,229800
71003201101,842304.5714,492388.5714,203600
71003201119,842305.2778,492468.5745,186100
71003201127,842306.2466,492544.0804,223600
71003201135,842347.3688,492637.8856,218000
71003202068,842464.8233,491886.5606,203500
71003202076,842545.8393,491886.4081,212500
71003202084,842627.0502,491886.3486,205000
71003202092,842709.4758,491887.7751,185400
71003202109,842794.1834,491887.4484,223100
71003202117,842875.2215,491896.8091,212200
71003202125,843014.473,491886.9876,278200
71003202133,843117.0165,491912.6872,207300
71003202141,843117.6568,491847.6251,178600
71003202159,843131.9832,491750.6787,213900
71003202167,843040.4008,491749.3969,218200
71003202175,842935.6727,491802.7809,243900
71003202183,842871.52,491733.5133,207300
71003203016,843134.7398,492219.0101,246000
71003203024,843048.6382,492219.8361,190500
71003203032,842966.9345,492219.9393,213000
71003203040,842883.3124,492219.8407,192600
71003203058,842801.1267,492220.2916,217000
71003203066,842720.3265,492220.2133,245000
71003203074,842638.4871,492220.3241,209700
71003203082,842559.0753,492220.7076,205100
71003203090,842474.0586,492220.12200000003,290600
71003203107,842474.2779999999,492085.1038,242900
71003203115,842558.8842,492084.396,210400
71003203123,842637.2475,492083.3093,262200
71003203131,842719.0739,492082.4873,195500
71003203149,842799.2578,492081.9026,206300
71003203157,842881.5421,492080.6824,249100
71003203165,842965.8273,492080.0766,196600
71003203173,843047.4408,492079.2652,228600
71003203181,843133.6588,492079.0986,231700
71003204014,842475.2065,492414.1527,234200
71003204022,842559.4664,492414.2184,300000
71003204030,842640.0435,492413.9252,221000
71003204048,842722.3094,492414.0165,214000
71003204056,842803.6458,492414.0966,207400
71003204064,842885.3533,492413.9685,215100
71003204072,842968.7558,492413.9282,224400
71003204080,843051.2379,492413.9597,196700
71003204098,843137.1331,492414.7734,218700
71003204105,843137.9463,492543.5714,211800
71003204113,843051.6843,492544.0195,229100
71003204121,842969.33,492543.9446,220000
71003204139,842886.1306,492543.9398,221900
71003204147,842804.099,492544.0227,216500
71003204155,842722.3615,492543.9013,197500
71003204163,842640.4473,492543.765,221000
71003204171,842559.5931,492544.0138,245100
71003204189,842478.1353,492538.646,203200
71003205012,843331.4539,492791.3548,194700
71003205020,843327.7399,492710.0244,181900
71003205038,843327.2454,492629.5536,200300
71003205046,843326.588,492549.2564,201600
71003205054,843326.2158,492469.6069,197700
71003205062,843325.8096,492389.2645,209100
71003205070,843451.9628,492397.0552,193900
71003205088,843453.2740000001,492483.9951,239400
71003205096,843454.0239,492564.4119,222100
71003205103,843454.8517,492644.3302,212800
71003205111,843447.7139,492749.3235,243400
71003205129,843524.8557,492812.3271,245100
71003205137,843664.1978,492832.5769,211500
71003205145,843720.5369,492751.6297,197400
71003205153,843694.9594,492628.6788,200200
71003205161,843676.4064,492547.5639,211400
71003205179,843632.2586,492430.2005,228100
71003205187,843730.9501,492432.9314,236700
71003205195,843820.6745,492435.5479,220400
71003205202,843906.6348,492438.8953,188000
71003205236,843990.3655,492439.35299999994,179200
71003205244,844054.9421,492442.4154,232600
71003205252,844119.8572,492444.4303,201600
71003205260,844226.8759,492424.2965,219600
71003205278,844213.0789,492498.0982,178700
71003205286,844197.9366,492566.04,220500
71003205294,844201.6311,492636.5085,200200
71003205301,844196.2931,492720.6926,210300
71003205319,844207.4506,492820.7799,201700
71003205327,844255.1667,492895.3377,228000
71003205335,844357.7605,492895.3488,188600
71003205343,844433.4286,492885.8835,174600
71003205351,844499.2234,492885.8538,193900
71003205369,844565.0490000001,492886.8025,180800
71003206010,843325.6599,492243.0513,222900
71003206028,843452.0253,492240.9678,251500
71003206036,843448.4395,492146.3326,277100
71003206044,843461.8845,492051.0738,245800
71003206052,843497.7786,491948.4221,273200
71003206060,843619.6043,491919.2192,274300
71003206078,843739.7540000001,491916.0391,264100
71003206086,843848.5786,491921.0191,271600
71003206094,843844.4294,491785.3132,163200
71003206101,843729.5781,491782.104,159300
71003206143,843326.1285,491794.0898,165000
71003206151,843321.8384,491998.6825,254700
71003206169,843323.0211,492079.3389,212300
71003206177,843323.7261,492159.9837,203700
71003206185,843326.6089,491859.9077,216000
71003206193,843327.3006,491925.8241,235500
71003207018,843910.5289,492238.6206,243900
71003207026,843829.6596,492235.8216,250300
