Parcel,Latitude,Longitude
71002107665,43.10041381644731,-89.26875288104335
71002107673,43.10041381644731,-89.26875288104335
71002107681,43.10041381644731,-89.26875288104335
71002107699,43.10041381644731,-89.26875288104335
71002107706,43.10041381644731,-89.26875288104335
71002107714,43.10041381644731,-89.26875288104335
71002107722,43.10041381644731,-89.26875288104335
71002107730,43.10041381644731,-89.26875288104335
71002107748,43.10041381644731,-89.26875288104335
71002107756,43.10041381644731,-89.26875288104335
71002107764,43.10041381644731,-89.26875288104335
71002107772,43.10041381644731,-89.26875288104335
71002107780,43.10041381644731,-89.26875288104335
71002107798,43.10041381644731,-89.26875288104335
71002107805,43.10041381644731,-89.26875288104335
71002107813,43.10041381644731,-89.26875288104335
71002107821,43.10041381644731,-89.26875288104335
71002107839,43.10041381644731,-89.26875288104335
71002107847,43.10041381644731,-89.26875288104335
71002200980,43.1006118674571,-89.27839910467807
71002200998,43.09989926293118,-89.281342012449
71002201011,43.1056230414767,-89.2794887232229
71002300988,43.095241698215524,-89.28226281712375
71002301019,43.09842239117804,-89.28036604653987
71002302017,43.09890488357613,-89.27909457829216
71002302025,43.098913976834154,-89.27872116723486
71002302033,43.09892201202893,-89.2783458730109
71002302041,43.09893004721362,-89.27797057890729
71002302059,43.09893808262847,-89.27759528474347
71002302067,43.09894611804335,-89.27721999057967
71002302075,43.098955644305654,-89.27684563098944
71002302083,43.098984924938065,-89.27646698405233
71002302108,43.099128850901515,-89.27604610630074
71002302116,43.099013609062354,-89.27604425601426
71002302124,43.09893251374289,-89.27604632233589
71002302132,43.098844125723645,-89.27605439380096
71002303015,43.09845934988094,-89.27905732701208
71002303023,43.098370622999774,-89.27905621608474
71002303031,43.098287959310674,-89.2790568013609
71002303049,43.098203791936285,-89.2790527587267
71002303057,43.098118606830134,-89.27904987891213
71002303065,43.098034202551545,-89.27902804342757
71002303073,43.097951721688226,-89.27899523719826
71002303081,43.09787188252174,-89.2789519049953
71002303099,43.097795390450315,-89.27889844491597
71002303106,43.09772304958937,-89.27883508905911
71002303114,43.097660326917826,-89.27875834704821
71002303122,43.097597027545426,-89.27868291363319
71002303130,43.09753162747721,-89.27860919180894
71002303148,43.09746702122183,-89.27853636551126
71002303156,43.0974034742832,-89.27846473254833
71002303164,43.09731137695893,-89.27834392913587
71002303172,43.097483972231636,-89.27784493909569
71002303180,43.09754567935146,-89.277942220435
71002303198,43.097607989535696,-89.27802025923589
71002303205,43.097672853826666,-89.27810150014861
71002303213,43.097733553470164,-89.27818567071556
71002303221,43.0977988061634,-89.27826835351155
71002303239,43.09787101043409,-89.2783468322134
71002303247,43.09794633739182,-89.27841837016297
71002303255,43.09802781130335,-89.27847637500332
71002303263,43.09811441608964,-89.27851860812223
71002303271,43.09820396829409,-89.27854414157757
71002303289,43.09829624378126,-89.27855723387232
71002303297,43.09838413004608,-89.27854935707964
71002303304,43.09847137764712,-89.2785549624121
71002304013,43.09842775744202,-89.2779328802641
71002304021,43.098234874256605,-89.27791708129593
71002304039,43.098084472957765,-89.27779070569751
71002304047,43.09797015553781,-89.27762406218223
71002304055,43.09784151711747,-89.2774435328715
71002304063,43.098295568483756,-89.27698838830429
71002305011,43.09776061075569,-89.27644803835621
71002305029,43.09774675164762,-89.27673622766406
71002305037,43.09760074762158,-89.27706564226703
71002305045,43.09747632197618,-89.27689433817517
71002305053,43.09741251552539,-89.27660784449009
71002305061,43.09720088919323,-89.27652189770033
71002305079,43.09697605994357,-89.27650279114299
71002305087,43.09679852777398,-89.27651697398365
71002305095,43.09662641382872,-89.27652278054147
71002305160,43.09663779899708,-89.27609761085667
71002305178,43.09680964357512,-89.2760987427401
71002305186,43.096971929793305,-89.27609624569733
71002305194,43.09713384589574,-89.2760921232117
71002305201,43.09729576202525,-89.27608800072164
71002305219,43.097457678191205,-89.2760838772792
71002305227,43.09761959423562,-89.27607975413393
71002305235,43.09779798239923,-89.27609044288306
71002306019,43.09693650228164,-89.27816034947057
71002306027,43.09699997096541,-89.27790698732534
71002306035,43.09703960610853,-89.27764125701663
71002306043,43.09728011772791,-89.27751542572167
71002306051,43.097162989693196,-89.27734745201818
71002306069,43.097045821418796,-89.27717581899358
71002306077,43.096872289551094,-89.2771213558488
71002306085,43.096652917554685,-89.27704335736206
71002306093,43.09665542818812,-89.27726975328233
71002306100,43.096707844275244,-89.27748460289483
71002306118,43.096697399708546,-89.27770633613912
71002306126,43.09668695569369,-89.27792804498604
71002306134,43.09667787360564,-89.27815908262944
71002307017,43.09629619756034,-89.27810668697293
71002307025,43.096247779174256,-89.27781451255846
71002307033,43.0962444268211,-89.27759304218182
71002307041,43.09624107480947,-89.27737157148776
71002307059,43.096280978288796,-89.27709689595179
71002307067,43.09609863459797,-89.27710049025461
71002307075,43.09591415981011,-89.27709925020652
71002307083,43.09596390965298,-89.2773794177187
71002307091,43.095967262098874,-89.27760088852952
71002307108,43.09597061411919,-89.27782235903926
71002307116,43.09593108176932,-89.27811702399602
71002307124,43.09611365952746,-89.27811310232535
71002308015,43.095588231061704,-89.27814363414896
71002308023,43.0955401400663,-89.27786834668895
71002308031,43.095536786885035,-89.2776468844575
71002308049,43.095533434668084,-89.27742541323
71002308057,43.09553008256741,-89.27720394223115
71002308065,43.095565956547304,-89.27693695161727
71002308073,43.09538652177085,-89.27691457420464
71002308081,43.09520384224075,-89.27691499398132
71002308099,43.095252609718,-89.27721178702947
71002308106,43.09525596205833,-89.27743325798296
71002308114,43.09525931427526,-89.2776547292105
71002308122,43.09526266552859,-89.2778761935044
71002308130,43.095222932256206,-89.27815396455085
71002308148,43.09540559556947,-89.27815003548818
71002309013,43.09628057386529,-89.27652626269388
71002309021,43.09608748544803,-89.27653505677085
71002309039,43.09584710993768,-89.2765171729826
71002309047,43.095591282296596,-89.27632902575328
71002309055,43.09540044409096,-89.27629655201612
71002309063,43.09521040026446,-89.276300622583
71002309071,43.09522750230875,-89.27588665021986
71002309089,43.09542129143923,-89.27587703822995
71002309097,43.095604119079326,-89.275869505473
71002309104,43.095779093900774,-89.2760073736878
71002309112,43.096118507592706,-89.27603146819095
71002309120,43.096296724878286,-89.2760532512811
71002309138,43.09594865892867,-89.27601327175188
71002310010,43.09483498432329,-89.27819741363801
71002310028,43.09483398925628,-89.27795199519869
71002310036,43.09483230933966,-89.27773046614863
71002310044,43.09483062943525,-89.27750893745463
71002310052,43.09482894940708,-89.27728740828003
71002310060,43.09482726949837,-89.27706587963854
71002310078,43.094825589705955,-89.27684435154636
71002310086,43.09483346190065,-89.27626745234687
71002310094,43.094838559690025,-89.27604601161364
71002310101,43.09484221129386,-89.27581319207684
71002310119,43.09462443191561,-89.27581222501422
71002310127,43.09460938850909,-89.27603949133146
71002310135,43.09460025186296,-89.27625973392094
71002310143,43.09459030370615,-89.2768440123799
71002310151,43.09458845664445,-89.27706553494994
71002310169,43.0945866101489,-89.27728705776822
71002310177,43.09458476308646,-89.27750858046768
71002310185,43.09458291579467,-89.27773010336128
71002310193,43.09458106896735,-89.2779516261852
71002310200,43.09458650975739,-89.27819299959647
71002310218,43.09470951958455,-89.27655370037726
71002311018,43.09417023912523,-89.27815276541659
71002311026,43.094135085103744,-89.27785888094189
71002311034,43.09414103972541,-89.27760321069636
71002311042,43.09414518125489,-89.27734420885274
71002311050,43.09414932233419,-89.27708520700882
71002311068,43.094153463512356,-89.27682620491447
71002311076,43.09416194108507,-89.27629564534537
71002311084,43.09416285868242,-89.27607490455607
71002311092,43.094158650867826,-89.27583576909079
71002311109,43.09386266716722,-89.27583336636756
71002311117,43.093855112696296,-89.27606492230608
71002311125,43.09385173211271,-89.27628639230178
71002311133,43.09384362995997,-89.2768169711892
71002311141,43.093839676060156,-89.27707597903633
71002311159,43.093835722518925,-89.27733498639256
